id,name,ruc,phone,address,created_at,updated_at
020b39d1-2039-4312-967d-52689bc40733,Empresa de Servicios Multiples Eurochankas S.A.C.,20556552780,985201333,Andahuaylash 935 - La Victoria,2024-07-20 15:16:22.23,2024-07-20 15:16:22.23
0b40d894-88b0-448c-913b-3769c377dfd3,Transportes Paolo Diego S.A.C.,20523784782,,AV. 28 de Julio 2165 - La Victoria,2023-12-05 17:25:21.601,2024-05-08 03:49:29.778
1307f184-318e-4292-b603-23dc66e7f03e,Turismo Libertadores S.A.C.,20507725270,953745004,AV.  LUNA PIZARRO 218 - LA VICTORIA,2024-10-07 15:32:00.008805,2024-10-07 15:32:00.008805
151162f3-e1d3-4d19-84b6-7c336e908aa6,EXPRESO EL ALTIPLANO S.R.L.,20555954884,943108760,Jr. Hipólito Unanue 682 - La Victoria,2024-07-17 16:03:27.391,2024-07-17 16:03:27.391
1e334fe3-11cd-42b1-b0c4-22e03da78445,LATAM CARGO S.A.C.,20600947983,,Av. Elmer Faucett 2823 Oficina 401 - Callao,2024-12-14 02:19:38.846766,2024-12-14 02:19:38.846766
26affc0a-0626-4ac4-a6e0-6bd6ac79d331,ERIK PERU CARGO S.A.C,20553025291,950518392,Garcia Naranjo 968 - La Victoria,2024-11-14 20:52:21.892179,2024-11-14 20:52:21.892179
2e0f4596-eb1b-43e9-9fc6-3f85777f6673,Empresa de Transportes Selva Central E.I.R.L.,20262670130,998429393,Cal. Rio Nazca Nro. 171 Urb. Castilla - San Luis,2024-01-15 12:35:55.817,2024-05-08 03:49:29.778
3027482b-253f-43cb-acf0-7f08734a5e09,Tour Rodríguez S.A.C,20601786614,,Av. 28 julio 1204 - La Victoria -,2023-10-23 02:46:19.389,2024-05-08 03:54:32.001
35c7555e-d6d4-4643-b4aa-5a79482b5146,MULTISERVICIOS BALDEON & JUNIN EIRL,20601451175,,Av. Luna Pizarro 234,2023-10-21 22:51:24.818,2024-05-08 03:49:29.778
3af24237-ae5f-4513-83a6-dd24ce1af4c9,EMP. DE TRANS. FLORES HNOS. SRL.,20119407738,972715266,Av. Paseo de la República 627 - La Victoria,2024-05-28 22:31:09.53,2024-05-28 22:31:09.53
4012e6db-ac83-4ed8-b6e1-00399a99b9bb,Empresa de Transportes y Servicios Qz E.I.R.L.,20606130407,,GARCIA NARANJO 604 - La Victoria,2023-12-20 17:26:45.869,2024-05-08 03:49:29.778
4687b547-e7d3-4ac9-a7bc-333ad1148255,Expresso Benavides S.A.C.,20602900747,960449232,JR.  Manuel Cisneros 299 - La Victoria,2024-12-04 14:55:21.817354,2024-12-04 14:55:21.817354
511cc296-6e9f-4776-8082-00f7093c23c7,TRANSPORTE BURGA CARGO S.A.C.,20606494921,,Manuel cisneros 394 - La Victoria,2025-01-25 20:43:14.713916,2025-01-25 20:43:14.713916
5b0cfcd8-2a30-4e9f-a5d4-5ad91920db6e,Empresa de Transportes Expreso Internacional Palomino S.A.C,20417931393,,Av. Nicolas Arriola Nro. 910 - La Victoria,2024-04-24 15:26:50.092,2024-05-08 03:49:29.778
648e2a4e-d765-40ed-affa-bdcab9119788,TRANSPORTES CESPEDES CARGO E.I.R.L.,20489585678,949070513,Jr Humbolt N° 700 - La Victoria,2023-11-10 16:23:37.574,2024-05-08 03:49:29.778
6a663cba-3b9c-4ef7-a27f-a69849caead2,EXPRESO INTERNACIONAL TURISMO CENTRAL S.A.,20601908752,,Jr Francisco Javier de Luna 442 - La Victoria,2023-10-21 22:51:24.818,2024-05-08 16:25:02.308
